,lumen,wthrombus,dissection,rupture,guidewire,wall,lipid,calcium,media,catheter,sidebranch,rthrombus
NLDAMPH0067_1,0.987854259,0,0,0,0.946243048,0.896818045,0.283592963,0,0.7840947,0.990438739,0.159463341,0
NLDAMPH0063_1,0.987408548,0,0,0,0.923585978,0.886872408,0.468959796,0.084317593,0.487598524,0.992105626,0.229438102,0.16434678
NLDHMC0009_1,0.988825277,0,0,0,0.929526449,0.905252661,0.302869868,0.054455112,0.612564698,0.992045596,0.205804392,0.106140629
NLDRADB0097_1,0.988919362,0,0,0,0.932527225,0.902970343,0.241599574,0.170725605,0.653896765,0.992368902,0.177159212,0.083520495
NLDRADB0094_1,0.989861514,0,0,0,0.936530726,0.902459657,0.326368001,0.141499358,0.68026857,0.992467857,0.150890019,0.06531731
NLDAMPH0007_1,0.987871586,0,0,0,0.936877093,0.907192367,0.339067849,0.119966847,0.704442868,0.992424247,0.142917356,0.055377719
NLDISALA0090_1,0.987245822,0,0,0,0.936472806,0.905996243,0.375245498,0.123843657,0.71159923,0.991812949,0.134146069,0.04852143
NLDRADB0085_1,0.986669325,0,0,0,0.931532803,0.908023536,0.342037359,0.1083632,0.731988368,0.991859619,0.138908959,0.042456251
NLDAMPH0076_1,0.987205332,0,0,0,0.935638332,0.909245546,0.333367904,0.096322845,0.74652109,0.991896442,0.136949831,0.03773889
NLDRADB0088_1,0.987177744,0,0,0.003754864,0.93845931,0.907940436,0.33470195,0.118835208,0.743874077,0.992120161,0.127753132,0.033740067
NLDAMPH0029_1,0.987222062,0,0,0.011529453,0.936028232,0.910176032,0.355885889,0.128009562,0.751968824,0.992262524,0.121283851,0.030507486
NLDAMPH0003_1,0.987219065,0,0,0.010579224,0.936366149,0.910192455,0.348563634,0.122344833,0.76044522,0.992219836,0.114408645,0.027993133
NLDISALA0008_1,0.987491927,0,0,0.009924839,0.937367126,0.906009185,0.337551843,0.144178308,0.755737388,0.992177486,0.107331822,0.026261599
NLDAMPH0069_1,0.987599329,0,0,0.009392286,0.93670764,0.90246655,0.336701937,0.136452052,0.756055805,0.992091687,0.10378739,0.02485244
NLDRADB0095_1,0.986897481,0,0,0.026930461,0.937808942,0.903921073,0.347464258,0.146975564,0.74264297,0.992258856,0.106649886,0.022643334
NLDRADB0084_2,0.986085955,0,0,0.025352945,0.936303652,0.902937028,0.339420633,0.141442224,0.744056612,0.99219099,0.107151166,0.021316946
NLDAMPH0012_1,0.986179465,0.002560969,0,0.027457719,0.935857969,0.90243662,0.343720149,0.135761813,0.742303638,0.992198728,0.103054604,0.020460844
